BGC Name	BiGSCAPE GCF	Genome Name	Taxonomy	BGC Type	Study source	Peripla_BP_2 (Y/N)	FecCD (Y/N)	Tonb_dep_Rec (Y/N)
dasN4_152_021G1_concoct_16-c00022_N4_152_...region001	1891	dasN4_152_021G1_concoct_16	Citrobacter	NRPS	Infant	1	1	1
dasN2_038_039G1_maxbin2.maxbin.001.fasta-c00002_38_004_...region002	1891	dasN2_038_039G1_maxbin2.maxbin.001.fasta	Citrobacter	NRPS	Infant	1	1	1
dasN5_234_037G1_abawaca.8.fasta-c00007_N5_234_...region001	1891	dasN5_234_037G1_abawaca.8.fasta	Citrobacter	NRPS	Infant	1	1	1
SRS344873_3-001	3029	SRS344873_3	Citrobacter	nrps	Adult	1	1	1
dasN4_166_061G1_maxbin2.maxbin.001.fasta-c00103_N4_166_...region001	3029	dasN4_166_061G1_maxbin2.maxbin.001.fasta	Citrobacter	NRPS	Infant	1	1	0
SRS371417_6-003	3029	SRS371417_6	Citrobacter	nrps	Adult	1	1	1
dasN3_173_017G1_maxbin2.maxbin.003.fasta-c00003_173_006...region001	3029	dasN3_173_017G1_maxbin2.maxbin.003.fasta	Citrobacter	NRPS	Infant	1	1	1
dasN1_009_015G1_concoct_7-c00004_b009-d0...region001	3029	dasN1_009_015G1_concoct_7	Citrobacter	NRPS	Infant	1	1	1
dasN5_233_052G1_concoct_5-c00007_N5_233_...region001	1891	dasN5_233_052G1_concoct_5	Citrobacter	NRPS	Infant	1	1	1
dasN5_249_012G1_maxbin2.maxbin.002.fasta-c00001_N5_249_...region001	3029	dasN5_249_012G1_maxbin2.maxbin.002.fasta	Citrobacter	NRPS	Infant	1	1	1
SRS373051_4-003	1973	SRS373051_4	Citrobacter	nrps	Adult	1	1	1
SRS414247_3-004	3029	SRS414247_3	Citrobacter_A	nrps	Adult	1	1	1
SRS284313_2-001	2298	SRS284313_2	Citrobacter_A	t1pks-nrps	Adult	1	1	1
SRS335385_2-007	3007	SRS335385_2	Citrobacter_A	t1pks-nrps	Adult	1	1	0
dasS2_001_010G1_maxbin2.maxbin.001.fasta-c00002_qb30708...region001	1968	dasS2_001_010G1_maxbin2.maxbin.001.fasta	Citrobacter_A	NRPS	Infant	1	1	1
SRS284313_2-008	1968	SRS284313_2	Citrobacter_A	nrps	Adult	1	1	1
ERS473281_14-001	1891	ERS473281_14	Citrobacter_A	nrps	Adult	1	1	1
dasN4_125_008G1_abawaca.3.fasta-c00003_N4_125_...region004	2298	dasN4_125_008G1_abawaca.3.fasta	Citrobacter_A	T1PKS	Infant	1	1	1
dasN4_125_008G1_abawaca.3.fasta-c00003_N4_125_...region003	2687	dasN4_125_008G1_abawaca.3.fasta	Citrobacter_A	siderophore	Infant	1	1	1
SRS284316_7-008	2298	SRS284316_7	Citrobacter_A	t1pks-nrps	Adult	1	1	1
SRS284316_7-006	1968	SRS284316_7	Citrobacter_A	nrps	Adult	1	1	1
dasN4_125_008G1_abawaca.3.fasta-c00001_N4_125_...region001	1968	dasN4_125_008G1_abawaca.3.fasta	Citrobacter_A	NRPS	Infant	1	1	1
SRS335385_2-001	2298	SRS335385_2	Citrobacter_A	t1pks-nrps	Adult	1	1	1
SRS373031_2-006	1968	SRS373031_2	Citrobacter_A	nrps	Adult	1	1	1
SRS373031_2-001	2298	SRS373031_2	Citrobacter_A	t1pks-nrps	Adult	1	1	1
SRS335385_2-006	1968	SRS335385_2	Citrobacter_A	nrps	Adult	1	1	1
SRS373031_2-008	3007	SRS373031_2	Citrobacter_A	t1pks-nrps	Adult	1	1	0
dasS2_001_010G1_maxbin2.maxbin.001.fasta-c00001_qb30708...region001	3007	dasS2_001_010G1_maxbin2.maxbin.001.fasta	Citrobacter_A	T1PKS	Infant	1	1	0
dasN4_125_008G1_abawaca.3.fasta-c00003_N4_125_...region002	2686	dasN4_125_008G1_abawaca.3.fasta	Citrobacter_A	butyrolactone	Infant	1	1	1
dasN4_125_008G1_abawaca.3.fasta-c00003_N4_125_...region001	2685	dasN4_125_008G1_abawaca.3.fasta	Citrobacter_A	NRPS	Infant	1	1	1
dasN4_125_008G1_abawaca.3.fasta-c00007_N4_125_...region001	3007	dasN4_125_008G1_abawaca.3.fasta	Citrobacter_A	NRPS	Infant	1	1	0
SRS001056_10-001	2298	SRS001056_10	Citrobacter_A	t1pks-nrps	Adult	1	1	1
SRS001058_5-008	1968	SRS001058_5	Citrobacter_A	nrps	Adult	1	1	1
SRS001058_5-001	2298	SRS001058_5	Citrobacter_A	t1pks-nrps	Adult	1	1	1
SRS372531_6-001	2046	SRS372531_6	Citrobacter_A	nrps	Adult	1	1	1
SRS284313_2-005	3007	SRS284313_2	Citrobacter_A	t1pks-nrps	Adult	1	1	0
SRS001056_10-009	1968	SRS001056_10	Citrobacter_A	nrps	Adult	1	1	1
dasN4_167_000G1_abawaca.22.fasta-c00005_N4_167_...region001	2756	dasN4_167_000G1_abawaca.22.fasta	Clostridium_J	NRPS	Infant	1	1	0
ERS235544_32-001	1781	ERS235544_32	Coprococcus	nrps	Adult	1	1	0
SRS476074_49-002	1781	SRS476074_49	Coprococcus	nrps	Adult	1	1	0
SRS475993_18-001	1781	SRS475993_18	Coprococcus	nrps	Adult	1	1	0
SRS015065_62-001	1781	SRS015065_62	Coprococcus	nrps	Adult	1	1	0
SRS476516_52-001	1781	SRS476516_52	Coprococcus	nrps	Adult	1	1	0
ERS235533_26-002	1781	ERS235533_26	Coprococcus	nrps	Adult	1	1	0
ERS537332_46-002	1781	ERS537332_46	Coprococcus	nrps	Adult	1	1	0
ERS608492_52-002	1781	ERS608492_52	Coprococcus	nrps	Adult	1	1	0
SRS820587_9-001	1781	SRS820587_9	Coprococcus	nrps	Adult	1	1	0
ERS235513_10-002	1781	ERS235513_10	Coprococcus	nrps	Adult	1	1	0
ERS537250_11-002	1781	ERS537250_11	Coprococcus	nrps	Adult	1	1	0
ERS235507_58-001	1781	ERS235507_58	Coprococcus	nrps	Adult	1	1	0
SRS476342_44-002	1781	SRS476342_44	Coprococcus	nrps	Adult	1	1	0
SRS476209_43-001	1781	SRS476209_43	Coprococcus	nrps	Adult	1	1	0
ERS235627_81-002	1781	ERS235627_81	Coprococcus	nrps	Adult	1	1	0
ERS608517_48-002	1781	ERS608517_48	Coprococcus	nrps	Adult	1	1	0
SRS476141_66-001	1781	SRS476141_66	Coprococcus	nrps	Adult	1	1	0
SRS476196_33-002	1781	SRS476196_33	Coprococcus	nrps	Adult	1	1	0
SRS476328_16-001	1781	SRS476328_16	Coprococcus	nrps	Adult	1	1	0
ERS608535_14-002	1781	ERS608535_14	Coprococcus	nrps	Adult	1	1	0
ERS396322_6-001	1781	ERS396322_6	Coprococcus	nrps	Adult	1	1	0
SRS294955_13-001	1781	SRS294955_13	Coprococcus	nrps	Adult	1	1	0
ERS473362_30-001	1781	ERS473362_30	Coprococcus	nrps	Adult	1	1	0
ERS473190_62-001	1781	ERS473190_62	Coprococcus	nrps	Adult	1	1	0
SRS476050_51-002	1781	SRS476050_51	Coprococcus	nrps	Adult	1	1	0
SRS475709_8-001	1781	SRS475709_8	Coprococcus	nrps	Adult	1	1	0
SRS015854_32-001	1781	SRS015854_32	Coprococcus	nrps	Adult	1	1	0
ERS473163_19-001	1781	ERS473163_19	Coprococcus	nrps	Adult	1	1	0
dasN5_279_012G1_abawaca.7.fasta-c00017_N5_279_...region002	2997	dasN5_279_012G1_abawaca.7.fasta	Enterobacter	bacteriocin	Infant	0	1	1
dasN5_259_034G1_abawaca.4.fasta-c00003_N5_259_...region001	1865	dasN5_259_034G1_abawaca.4.fasta	Enterobacter	NRPS	Infant	1	1	1
ERS473397_4-003	2045	ERS473397_4	Enterobacter	nrps	Adult	1	1	1
dasN5_272_021G1_maxbin2.maxbin.001.fasta-c00007_N5_272_...region001	1817	dasN5_272_021G1_maxbin2.maxbin.001.fasta	Enterobacter	NRPS	Infant	1	1	1
SRS372639_1-002	1880	SRS372639_1	Enterobacter	nrps	Adult	1	1	1
dasN2_066_024G1_maxbin2.maxbin.002.fasta-c00095_66_007_...region001	1880	dasN2_066_024G1_maxbin2.maxbin.002.fasta	Enterobacter	NRPS	Infant	1	1	1
SRS372532_2-002	1628	SRS372532_2	Enterobacter	nrps	Adult	1	1	0
dasN4_116_025G1_abawaca.17.fasta-c00002_N4_116_...region002	2815	dasN4_116_025G1_abawaca.17.fasta	Enterobacter	thiopeptide	Infant	1	1	1
dasN4_137_012G1_maxbin2.maxbin.006.fasta-c00002_N4_137_...region001	1865	dasN4_137_012G1_maxbin2.maxbin.006.fasta	Enterobacter	NRPS	Infant	1	1	1
dasN5_238_028G1_maxbin2.maxbin.001.fasta-c00001_N5_238_...region001	2045	dasN5_238_028G1_maxbin2.maxbin.001.fasta	Enterobacter	NRPS	Infant	1	1	1
ERS537335_75-002	1880	ERS537335_75	Enterobacter	nrps	Adult	1	1	1
SRS1735576_5-001	2045	SRS1735576_5	Enterobacter	nrps	Adult	1	1	1
dasN2_066_033G1_maxbin2.maxbin.001.fasta-c00003_66_010_...region002	2815	dasN2_066_033G1_maxbin2.maxbin.001.fasta	Enterobacter	thiopeptide	Infant	1	1	1
dasN3_172_051G1_concoct_5-c00030_172_005...region001	1817	dasN3_172_051G1_concoct_5	Enterobacter	NRPS	Infant	1	1	1
dasN5_229_047G1_abawaca.3.fasta-c00003_N5_229_...region001	1880	dasN5_229_047G1_abawaca.3.fasta	Enterobacter	NRPS	Infant	1	1	1
SRS372593_3-001	1865	SRS372593_3	Enterobacter	nrps	Adult	1	1	1
dasN4_213_030G1_concoct_1-c00005_N4_213_...region001	1817	dasN4_213_030G1_concoct_1	Enterobacter	NRPS	Infant	1	1	1
dasN4_082_020G1_concoct_21-c00001_N4_082_...region001	1865	dasN4_082_020G1_concoct_21	Enterobacter	NRPS	Infant	1	1	1
dasN5_278_033G2_concoct_2-c00007_N5_278_...region001	1817	dasN5_278_033G2_concoct_2	Enterobacter	NRPS	Infant	1	1	1
ERS473282_5-004	2045	ERS473282_5	Enterobacter	nrps	Adult	1	1	1
dasN5_223_009G1_abawaca.2.fasta-c00005_N5_223_...region001	1880	dasN5_223_009G1_abawaca.2.fasta	Enterobacter	NRPS	Infant	1	1	1
dasS2_004_012G1_abawaca.59.fasta-c00034_JBBB010...region001	1865	dasS2_004_012G1_abawaca.59.fasta	Enterobacter	NRPS	Infant	1	1	1
dasN4_124_031G1_concoct_2-c00001_N4_124_...region001	2045	dasN4_124_031G1_concoct_2	Enterobacter	NRPS	Infant	1	1	1
SRS372566_1-004	1880	SRS372566_1	Enterobacter	nrps	Adult	1	1	1
dasN5_234_015G1_abawaca.11.fasta-c00006_N5_234_...region001	1817	dasN5_234_015G1_abawaca.11.fasta	Enterobacter	NRPS	Infant	1	1	1
SRS371477_10-003	1865	SRS371477_10	Enterobacter	nrps	Adult	1	1	1
ERS537380_34-003	1865	ERS537380_34	Enterobacter	nrps	Adult	1	1	1
SRS371466_4-001	1880	SRS371466_4	Enterobacter	nrps	Adult	1	1	1
dasS2_014_019G1_concoct_15-c00005_JBBB006...region001	1865	dasS2_014_019G1_concoct_15	Enterobacter	NRPS	Infant	1	1	1
ERS537291_73-002	1880	ERS537291_73	Enterobacter	nrps	Adult	1	1	1
dasN2_066_033G1_maxbin2.maxbin.001.fasta-c00003_66_010_...region001	1817	dasN2_066_033G1_maxbin2.maxbin.001.fasta	Enterobacter	NRPS	Infant	1	1	1
ERS473075_9-002	1880	ERS473075_9	Enterobacter	nrps	Adult	1	1	1
SRS373201_4-004	1880	SRS373201_4	Enterobacter	nrps	Adult	1	1	1
dasN2_069_017G1_abawaca.2.fasta-c00042_69_004_...region001	1880	dasN2_069_017G1_abawaca.2.fasta	Enterobacter	NRPS	Infant	1	1	1
dasN1_019_010G1_maxbin2.maxbin.001.fasta-c00002_b019-d0...region001	1865	dasN1_019_010G1_maxbin2.maxbin.001.fasta	Enterobacter	NRPS	Infant	1	1	1
SRS372979_1-002	1880	SRS372979_1	Enterobacter	nrps	Adult	1	1	1
dasN5_268_030G1_abawaca.13.fasta-c00054_N5_268_...region001	1880	dasN5_268_030G1_abawaca.13.fasta	Enterobacter	NRPS	Infant	1	1	1
SRS371409_9-002	2046	SRS371409_9	Enterobacter	nrps	Adult	1	1	1
dasN4_138_010G1_concoct_40-c00001_N4_138_...region001	1865	dasN4_138_010G1_concoct_40	Enterobacter	NRPS	Infant	1	1	1
dasN4_168_017G1_abawaca.9.fasta-c00004_N4_168_...region001	1865	dasN4_168_017G1_abawaca.9.fasta	Enterobacter	NRPS	Infant	1	1	1
SRS372533_2-001	1880	SRS372533_2	Enterobacter	nrps	Adult	1	1	1
dasN3_174_037G1_abawaca.5.fasta-c00005_174_006...region001	1880	dasN3_174_037G1_abawaca.5.fasta	Enterobacter	NRPS	Infant	1	1	1
dasN4_116_025G1_abawaca.17.fasta-c00002_N4_116_...region001	1817	dasN4_116_025G1_abawaca.17.fasta	Enterobacter	NRPS	Infant	1	1	1
dasN5_227_047G1_concoct_6-c00026_N5_227_...region001	1865	dasN5_227_047G1_concoct_6	Enterobacter	NRPS	Infant	1	1	1
dasN5_275_017G1_concoct_5-c00013_N5_275_...region001	1880	dasN5_275_017G1_concoct_5	Enterobacter	NRPS	Infant	1	1	1
SRS372638_2-003	1817	SRS372638_2	Enterobacter	nrps	Adult	1	1	0
dasN5_279_012G1_abawaca.7.fasta-c00017_N5_279_...region001	1817	dasN5_279_012G1_abawaca.7.fasta	Enterobacter	NRPS	Infant	0	1	1
dasS2_012_017G1_concoct_5-c00027_1217A07...region001	1817	dasS2_012_017G1_concoct_5	Enterobacter	NRPS	Infant	1	1	1
dasN4_155_009G1_concoct_4-c00010_N4_155_...region001	1880	dasN4_155_009G1_concoct_4	Enterobacter	NRPS	Infant	1	1	1
dasN5_273_016G1_concoct_15-c00018_N5_273_...region001	1817	dasN5_273_016G1_concoct_15	Enterobacter	NRPS	Infant	1	1	1
dasN2_070_020G1_concoct_11-c00053_70_003_...region001	1817	dasN2_070_020G1_concoct_11	Enterobacter	NRPS	Infant	1	1	1
SRS010192_1-001	1817	SRS010192_1	Enterobacter	nrps	Adult	1	1	1
SRS371586_3-005	2298	SRS371586_3	Enterobacter_B	t1pks-nrps	Adult	1	1	1
SRS335378_7-003	2298	SRS335378_7	Enterobacter_B	t1pks-nrps	Adult	1	1	1
SRS335378_7-009	3007	SRS335378_7	Enterobacter_B	t1pks-nrps	Adult	1	1	0
SRS371586_3-010	1968	SRS371586_3	Enterobacter_B	nrps	Adult	1	1	1
SRS372706_3-004	1968	SRS372706_3	Enterobacter_B	nrps	Adult	1	1	1
SRS335378_7-008	1968	SRS335378_7	Enterobacter_B	nrps	Adult	1	1	1
SRS372706_3-002	2298	SRS372706_3	Enterobacter_B	t1pks-nrps	Adult	1	1	1
SRS311495_7-002	2045	SRS311495_7	Enterobacter_D	nrps	Adult	1	1	1
SRS371409_7-005	1790	SRS371409_7	Erwinia	nrps	Adult	0	1	1
dasN4_150_014G1_maxbin2.maxbin.004.fasta-c00009_N4_150_...region001	2046	dasN4_150_014G1_maxbin2.maxbin.004.fasta	Erwinia	NRPS	Infant	1	1	1
SRS290675_21-002	1973	SRS290675_21	Erwinia	nrps	Adult	1	1	1
SRS259538_31-001	2040	SRS259538_31	Escherichia	nrps	Adult	1	1	0
ERS473269_1-002	2021	ERS473269_1	Escherichia	nrps	Adult	1	1	1
SRS1735717_16-001	2021	SRS1735717_16	Escherichia	nrps	Adult	1	1	1
ERS537307_6-001	2040	ERS537307_6	Escherichia	nrps	Adult	1	1	1
ERS473137_19-002	1941	ERS473137_19	Escherichia	nrps	Adult	0	1	1
ERS473114_37-001	1953	ERS473114_37	Escherichia	nrps	Adult	1	1	1
SRS344884_3-001	1867	SRS344884_3	Escherichia	nrps	Adult	1	1	1
ERS473254_17-002	2040	ERS473254_17	Escherichia	nrps	Adult	1	1	1
SRS259578_29-001	2040	SRS259578_29	Escherichia	nrps	Adult	1	1	1
dasN4_208_014G1_maxbin2.maxbin.002.fasta-c00002_N4_208_...region002	1867	dasN4_208_014G1_maxbin2.maxbin.002.fasta	Escherichia	NRPS	Infant	1	1	1
SRS372722_2-001	1941	SRS372722_2	Escherichia	nrps	Adult	1	1	1
SRS1735539_2-006	2021	SRS1735539_2	Escherichia	nrps	Adult	1	1	1
ERS473384_19-001	1953	ERS473384_19	Escherichia	nrps	Adult	1	1	1
dasN4_205_011G1_concoct_1-c00009_N4_205_...region001	2021	dasN4_205_011G1_concoct_1	Escherichia	NRPS	Infant	1	1	1
ERS235517_65-001	1953	ERS235517_65	Escherichia	nrps	Adult	1	1	1
SRS1719090_5-003	1953	SRS1719090_5	Escherichia	nrps	Adult	1	1	1
SRS1735485_23-004	2040	SRS1735485_23	Escherichia	nrps	Adult	1	1	1
SRS1735613_2-002	1953	SRS1735613_2	Escherichia	nrps	Adult	1	1	1
ERS608543_30-003	2021	ERS608543_30	Escherichia	nrps	Adult	1	1	1
SRS1735600_1-003	1916	SRS1735600_1	Escherichia	siderophore	Adult	0	1	1
ERS473283_23-001	2040	ERS473283_23	Escherichia	nrps	Adult	1	1	1
ERS537290_61-001	1953	ERS537290_61	Escherichia	nrps	Adult	1	1	1
ERS473142_5-001	1916	ERS473142_5	Escherichia	siderophore	Adult	0	1	1
SRS371488_1-002	2021	SRS371488_1	Escherichia	nrps	Adult	1	1	1
SRS371431_1-004	2021	SRS371431_1	Escherichia	nrps	Adult	1	1	1
ERS473153_11-001	2040	ERS473153_11	Escherichia	nrps	Adult	1	1	1
SRS1735631_1-008	1953	SRS1735631_1	Escherichia	nrps	Adult	1	1	1
SRS1735523_1-001	1916	SRS1735523_1	Escherichia	siderophore	Adult	0	1	1
SRS255500_3-004	1953	SRS255500_3	Escherichia	nrps	Adult	1	1	1
SRS004493_2-001	2021	SRS004493_2	Escherichia	nrps	Adult	1	1	1
ERS473066_6-001	2040	ERS473066_6	Escherichia	nrps	Adult	1	1	1
ERS473301_1-003	2021	ERS473301_1	Escherichia	nrps	Adult	1	1	1
SRS1170778_21-002	1867	SRS1170778_21	Escherichia	nrps	Adult	1	1	1
ERS473381_1-001	1953	ERS473381_1	Escherichia	nrps	Adult	1	1	1
SRS414107_5-001	2040	SRS414107_5	Escherichia	nrps	Adult	1	1	1
ERS396402_15-003	1916	ERS396402_15	Escherichia	siderophore	Adult	0	1	1
dasN4_142_036G1_concoct_9-c00036_N4_142_...region001	1941	dasN4_142_036G1_concoct_9	Escherichia	NRPS	Infant	1	1	1
ERS537182_73-001	1941	ERS537182_73	Escherichia	nrps	Adult	1	1	0
SRS372661_1-005	2021	SRS372661_1	Escherichia	nrps	Adult	1	1	1
SRS371401_5-001	1867	SRS371401_5	Escherichia	nrps	Adult	1	1	1
SRS373035_3-001	1867	SRS373035_3	Escherichia	nrps	Adult	1	1	1
SRS294857_6-001	2040	SRS294857_6	Escherichia	nrps	Adult	1	1	1
SRS290836_2-005	2383	SRS290836_2	Escherichia	nrps	Adult	1	1	1
dasS2_018_011G1_maxbin2.maxbin.001.fasta-c00001_1811A10...region002	2021	dasS2_018_011G1_maxbin2.maxbin.001.fasta	Escherichia	NRPS	Infant	1	1	1
SRS344883_5-002	1867	SRS344883_5	Escherichia	nrps	Adult	1	1	1
ERS473027_20-003	2021	ERS473027_20	Escherichia	nrps	Adult	1	1	1
ERS473088_13-002	1953	ERS473088_13	Escherichia	nrps	Adult	1	1	1
dasN4_100_007G1_concoct_1-c00004_N4_100_...region002	2021	dasN4_100_007G1_concoct_1	Escherichia	NRPS	Infant	1	1	1
SRS476191_9-002	1867	SRS476191_9	Escherichia	nrps	Adult	1	1	1
ERS235602_37-002	2021	ERS235602_37	Escherichia	nrps	Adult	1	1	1
ERS396479_44-002	2040	ERS396479_44	Escherichia	nrps	Adult	1	1	1
dasN4_126_022G1_maxbin2.maxbin.002.fasta-c00018_N4_126_...region001	1867	dasN4_126_022G1_maxbin2.maxbin.002.fasta	Escherichia	NRPS	Infant	1	1	1
ERS396464_29-002	1867	ERS396464_29	Escherichia	nrps	Adult	1	1	1
ERS473185_1-001	2021	ERS473185_1	Escherichia	nrps	Adult	1	1	1
ERS537391_59-001	1953	ERS537391_59	Escherichia	nrps	Adult	1	1	1
SRS371713_1-001	2021	SRS371713_1	Escherichia	nrps	Adult	1	1	1
dasN2_035_010G1_concoct_7-c00008_35_014_...region001	2021	dasN2_035_010G1_concoct_7	Escherichia	NRPS	Infant	1	1	1
SRS012273_29-001	2021	SRS012273_29	Escherichia	nrps	Adult	1	1	1
SRS1735628_2-001	2021	SRS1735628_2	Escherichia	nrps	Adult	1	1	1
ERS235592_93-001	1953	ERS235592_93	Escherichia	nrps	Adult	1	1	1
SRS373176_2-001	1867	SRS373176_2	Escherichia	nrps	Adult	1	1	1
dasS2_017_007G1_concoct_2-c00006_1707A09...region001	3057	dasS2_017_007G1_concoct_2	Escherichia	thiopeptide	Infant	1	1	1
SRS344860_2-001	1867	SRS344860_2	Escherichia	nrps	Adult	1	1	1
ERS396322_18-002	1867	ERS396322_18	Escherichia	nrps	Adult	1	1	1
SRS295002_38-004	2040	SRS295002_38	Escherichia	nrps	Adult	1	1	1
dasN4_207_028G1_concoct_21-c00001_N4_207_...region002	3057	dasN4_207_028G1_concoct_21	Escherichia	thiopeptide	Infant	1	1	1
ERS473409_8-001	1953	ERS473409_8	Escherichia	nrps	Adult	1	1	1
ERS537340_46-001	1953	ERS537340_46	Escherichia	nrps	Adult	1	1	1
