BGC	GCF	Type	ABC_membrane	ABC_tran	MFS_1	ABC2_membrane	MFS_3	ABC2_membrane_3	FtsX	MacB_PCD	OEP	MatE	MFS_2	MFS_4	TonB_dep_Rec	ACR_tran	
genbankScreened_109	NRPS_437	NRPS	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
genbankScreened_254	PKS_II_45	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_322	PKS_I_299	PKS	0	2	0	0	0	2	0	0	0	0	0	0	0	0	
genbankScreened_119	NRPS_528	NRPS	0	2	0	0	0	0	2	1	0	0	0	0	0	0	
AAur_7	TOMM_0	TOMM	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_74	PKS_I_196	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_341	PKS_II_12	PKS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_115	PKS_I_0	PKS	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_88	NRPS_0	NRPS	1	2	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_86	PKS_I_208	PKS	2	2	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_181	PKS_II_0	PKS	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
genbankScreened_172	NRPS_0	NRPS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
genbankScreened_362	NRPS_0	NRPS	2	2	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_168	NRPS_0	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_305	NRPS_320	NRPS	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_113	PKS_I_90	PKS	2	2	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_158	NRPS_0	NRPS	0	1	0	0	0	0	1	1	2	0	0	0	0	0	
genbankScreened_381	PKS_I_263	PKS	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
genbankScreened_164	PKS_II_24	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_163	PKS_II_24	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_384	PKS_I_116	PKS	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_288	NRPS_350	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_372	PKS_I_0	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_286	PKS_I_0	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_360	NRPS_0	NRPS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_365	NRPS_93	NRPS	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_364	NRPS_93	NRPS	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_356	NRPS_0	NRPS	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_149	PKS_I_0	PKS	0	2	2	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_354	NRPS_0	NRPS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_92	PKS_I_13	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_91	PKS_I_13	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
ACPL_1	NRPS_0	NRPS	0	1	1	0	0	0	0	0	0	0	0	0	0	0	
ACPL_5	NRPS_0	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
ACPL_9	Lant_0	Lant	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
ACPL_11	PKS_I_0	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
ACPL_13	PKS_I_153	PKS	4	4	2	0	0	0	0	0	0	0	0	0	0	0	
ACPL_14	NRPS_0	NRPS	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_349	Lant_22	Lant	0	2	0	0	0	0	2	0	0	0	0	0	0	0	
genbankScreened_51	NRPS_0	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_246	NRPS_320	NRPS	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_112	PKS_I_253	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_32	NRPS_0	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_97	PKS_II_0	PKS	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_49	PKS_I_110	PKS	0	1	1	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_53	PKS_I_0	PKS	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_277	PKS_I_263	PKS	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
genbankScreened_31	PKS_II_41	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_43	PKS_I_0	PKS	0	4	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_40	PKS_I_0	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_39	PKS_I_0	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_30	PKS_I_263	PKS	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
genbankScreened_29	PKS_II_0	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_37	PKS_II_31	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_256	Lant_45	Lant	0	2	0	1	0	0	0	0	0	0	0	0	0	0	
genbankScreened_251	NRPS_95	NRPS	2	3	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_446	TOMM_51	TOMM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_5	NRPS_93	NRPS	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_235	PKS_I_0	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_236	PKS_I_0	PKS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_231	PKS_I_90	PKS	2	2	0	0	0	0	0	0	0	0	0	0	0	0	
genbankScreened_230	PKS_I_12	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
AK37_4	NRPS_0	NRPS	1	1	1	0	1	0	0	0	0	0	0	0	0	0	
AK37_8	NRPS_0	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
AK37_9	NRPS_0	NRPS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
AK37_11	NRPS_0	NRPS	0	1	0	1	0	1	0	0	0	0	0	0	0	0	
AMED_7	NRPS_449	NRPS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
AMED_9	PKS_I_213	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
AMED_11	NRPS_604	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
AMED_15	NRPS_140	NRPS	0	1	0	1	0	0	2	0	0	0	0	0	0	0	
AMED_16	NRPS_351	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
AMED_32	TOMM_49	TOMM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
AMED_18	PKS_I_168	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
AMED_19	PKS_I_167	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
AMED_21	NRPS_366	NRPS	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
AMED_22	NRPS_453	NRPS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
AMED_23	NRPS_516	NRPS	2	3	0	0	0	0	0	0	0	0	0	0	0	0	
AMED_26	NRPS_601	NRPS	0	1	0	2	0	0	0	0	0	0	0	0	0	0	
AMED_27	PKS_II_43	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
AMED_33	TOMM_9	TOMM	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
AMED_28	NRPS_537	NRPS	0	0	1	0	1	0	0	0	0	0	0	0	0	0	
AMES_6	NRPS_449	NRPS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
AMES_8	PKS_I_213	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
AMES_9	NRPS_604	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
AMES_13	PKS_II_0	PKS	0	2	0	2	0	0	4	0	0	0	0	0	0	0	
AMES_14	NRPS_351	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
AMES_15	PKS_I_168	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
AMES_17	NRPS_366	NRPS	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
AMES_18	NRPS_453	NRPS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
AMES_19	NRPS_516	NRPS	2	3	0	0	0	0	0	0	0	0	0	0	0	0	
AMES_21	NRPS_601	NRPS	0	1	0	2	0	0	0	0	0	0	0	0	0	0	
AMES_22	PKS_II_43	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
AMES_23	NRPS_537	NRPS	0	0	1	0	1	0	0	0	0	0	0	0	0	0	
ARGLB_1	sidero_41	sidero	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
AS9A_2	NRPS_337	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
AS9A_3	NRPS_0	NRPS	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
AS9A_9	Lant_0	Lant	2	2	0	0	0	0	0	0	0	0	0	0	0	0	
AUCHE_2	NRPS_95	NRPS	2	3	0	0	0	0	0	0	0	0	0	0	0	0	
AUCHE_3	NRPS_0	NRPS	1	2	0	0	0	0	0	0	0	0	0	0	0	0	
Achl_2	sidero_41	sidero	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Achl_3	NRPS_0	NRPS	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
Amir_3	Lant_142	Lant	1	2	0	0	0	0	0	0	0	0	0	0	0	0	
Amir_4	PKS_I_167	PKS	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
Amir_5	PKS_I_82	PKS	0	2	1	0	0	0	2	0	0	0	0	0	0	0	
Amir_6	NRPS_309	NRPS	0	1	1	0	0	0	0	0	0	0	0	0	0	0	
Amir_8	PKS_I_68	PKS	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
Amir_11	NRPS_43	NRPS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
Amir_12	NRPS_0	NRPS	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
Amir_15	TOMM_84	TOMM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Amir_18	PKS_I_0	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Amir_22	PKS_I_0	PKS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
Amir_23	NRPS_364	NRPS	0	0	1	0	1	0	0	0	0	0	0	0	0	0	
Amir_24	NRPS_605	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Amir_26	PKS_I_0	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Amir_27	PKS_I_0	PKS	2	2	0	0	0	0	0	0	0	0	0	0	0	0	
Amir_28	PKS_I_0	PKS	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
Amir_29	NRPS_0	NRPS	2	2	1	0	0	0	0	0	0	0	0	0	0	0	
Arth_1	sidero_41	sidero	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
Arth_5	NRPS_0	NRPS	0	1	1	1	0	0	0	0	0	0	0	0	0	0	
Asphe3_1	sidero_41	sidero	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B005_3	Lant_0	Lant	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
B005_4	NRPS_0	NRPS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
B005_5	PKS_I_239	PKS	0	2	0	2	0	0	0	0	0	0	0	0	0	0	
B005_11	NRPS_20	NRPS	0	1	0	1	1	0	0	0	0	0	0	0	0	0	
B1049_9	Phos_27	Phos	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
B1049_18	NRPS_516	NRPS	2	3	0	0	0	0	0	0	0	0	0	0	0	0	
B11253_1	Lant_31	Lant	1	2	0	0	0	0	0	0	0	0	0	0	0	0	
B11253_4	NRPS_85	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B11253_6	PKS_II_25	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B11253_10	PKS_II_0	PKS	0	2	2	0	0	0	0	0	0	0	0	0	0	0	
B11253_12	PKS_I_329	PKS	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
B11253_20	NRPS_420	NRPS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
B11253_23	NRPS_83	NRPS	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
B11253_25	PKS_I_351	PKS	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
B11253_30	NRPS_436	NRPS	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
B11253_31	Lant_137	Lant	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
B11253_32	NRPS_225	NRPS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
B11253_33	NRPS_570	NRPS	0	1	0	0	0	0	2	0	0	0	0	0	0	0	
B11253_37	NRPS_469	NRPS	0	1	1	1	0	0	0	0	0	0	0	0	0	0	
B11253_39	NRPS_225	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B11253_40	NRPS_599	NRPS	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
B11253_41	Lant_133	Lant	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
B11253_43	NRPS_432	NRPS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
B1125_1	PKS_I_234	PKS	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
B1125_5	Lant_146	Lant	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B1125_17	NRPS_95	NRPS	2	3	0	0	0	0	0	0	0	0	0	0	0	0	
B1125_19	NRPS_264	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B1125_20	NRPS_175	NRPS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
B1125_23	NRPS_339	NRPS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
B11479_3	NRPS_590	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B11479_11	NRPS_403	NRPS	0	2	0	1	0	0	0	0	0	0	0	0	0	0	
B11479_41	Phos_27	Phos	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
B11479_15	PKS_I_305	PKS	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
B11479_20	PKS_II_0	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B11479_22	PKS_I_15	PKS	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
B11479_25	PKS_I_17	PKS	0	1	0	0	0	0	2	0	0	0	0	0	0	0	
B11479_26	NRPS_309	NRPS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
B11479_30	NRPS_173	NRPS	0	1	0	0	1	0	0	0	0	0	0	0	0	0	
B11479_31	sidero_0	sidero	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
B11479_32	NRPS_309	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B12029_7	NRPS_516	NRPS	2	3	0	0	0	0	0	0	0	0	0	0	0	0	
B12029_16	NRPS_456	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B12029_18	NRPS_0	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B12029_22	PKS_I_0	PKS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
B12029_26	PKS_I_0	PKS	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
B12337_1	Lant_31	Lant	1	2	0	0	0	0	0	0	0	0	0	0	0	0	
B12337_3	PKS_I_329	PKS	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
B12337_5	NRPS_599	NRPS	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
B12337_6	PKS_I_244	PKS	0	0	3	0	0	0	0	0	0	0	0	0	0	0	
B12337_8	PKS_II_0	PKS	0	2	1	0	0	0	0	0	0	0	0	0	0	0	
B12337_11	NRPS_83	NRPS	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
B12337_16	NRPS_469	NRPS	0	1	1	1	0	0	0	0	0	0	0	0	0	0	
B12337_19	NRPS_420	NRPS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
B12337_21	NRPS_85	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B12337_24	PKS_II_25	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B12337_26	NRPS_225	NRPS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
B12337_27	NRPS_570	NRPS	0	1	0	0	1	0	2	0	0	0	0	0	0	0	
B12337_30	Lant_137	Lant	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
B12337_32	PKS_I_265	PKS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
B12337_33	Lant_140	Lant	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
B12337_38	NRPS_436	NRPS	1	1	0	0	0	0	0	0	0	0	0	0	0	0	
B12337_42	NRPS_225	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B12337_43	Lant_133	Lant	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
B12337_44	NRPS_432	NRPS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
B12337_45	NRPS_583	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B1267_1	sidero_43	sidero	0	1	1	0	0	0	0	0	0	0	0	0	0	0	
B1267_3	PKS_I_0	PKS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
B1267_5	PKS_I_132	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B1267_8	PKS_I_171	PKS	0	2	0	2	0	0	0	0	0	0	0	0	0	0	
B1267_9	NRPS_496	NRPS	2	2	0	0	0	0	0	0	0	0	0	0	0	0	
B1267_15	NRPS_80	NRPS	0	1	0	0	1	0	1	0	0	0	0	0	0	0	
B1267_16	NRPS_543	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B1267_18	Lant_7	Lant	1	2	0	0	0	0	0	0	0	0	0	0	0	0	
B1267_19	PKS_I_245	PKS	0	2	0	0	0	2	0	0	0	0	0	0	0	0	
B1267_21	PKS_I_342	PKS	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
B1286_3	PKS_I_66	PKS	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
B1286_4	sidero_58	sidero	0	2	0	0	2	0	0	0	0	0	0	0	0	0	
B1286_5	PKS_II_55	PKS	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
B1286_6	NRPS_48	NRPS	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
B1286_11	NRPS_586	NRPS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
B1286_12	PKS_I_332	PKS	0	2	2	2	0	0	0	0	0	0	0	0	0	0	
B1286_16	NRPS_603	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B1286_17	sidero_43	sidero	0	1	1	0	0	0	0	0	0	0	0	0	0	0	
B1286_18	NRPS_194	NRPS	1	2	0	0	0	0	0	0	0	0	0	0	0	0	
B1286_21	NRPS_0	NRPS	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
B1286_31	NRPS_321	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B1286_33	PKS_I_0	PKS	2	2	0	0	0	0	0	0	0	0	0	0	0	0	
B1286_36	PKS_I_157	PKS	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
B1306_2	NRPS_0	NRPS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
B1306_3	NRPS_0	NRPS	0	2	0	1	0	3	0	0	0	0	0	0	0	0	
B1306_5	NRPS_154	NRPS	0	3	0	0	0	0	0	0	0	0	0	0	0	0	
B1306_9	NRPS_505	NRPS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
B1570_1	PKS_I_78	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B1570_12	NRPS_494	NRPS	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
B1570_13	Lant_31	Lant	1	2	0	0	0	0	0	0	0	0	0	0	0	0	
B1570_44	TOMM_42	TOMM	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B1570_17	NRPS_598	NRPS	2	2	0	0	0	0	0	0	0	0	0	0	0	0	
B1570_19	PKS_I_83	PKS	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
B1570_22	PKS_I_0	PKS	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
B1570_29	NRPS_239	NRPS	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
B1579_4	NRPS_518	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B1579_5	PKS_I_142	PKS	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
B1579_8	PKS_I_127	PKS	0	2	2	0	0	0	0	0	0	0	0	0	0	0	
B1579_9	NRPS_95	NRPS	2	3	0	0	0	0	0	0	0	0	0	0	0	0	
B1579_10	NRPS_225	NRPS	0	1	1	0	0	0	0	0	0	0	0	0	0	0	
B1579_11	PKS_I_204	PKS	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
B1579_15	Lant_27	Lant	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
B1579_16	PKS_I_312	PKS	0	1	0	1	0	0	0	0	0	0	0	0	0	0	
B1579_20	PKS_I_359	PKS	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
B1579_36	TOMM_85	TOMM	0	2	1	1	0	0	2	2	0	0	0	0	0	0	
B1579_22	Lant_31	Lant	1	2	1	0	0	0	0	0	0	0	0	0	0	0	
B1579_23	sidero_15	sidero	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B1579_25	Lant_146	Lant	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B1579_27	PKS_II_0	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B1579_37	TOMM_69	TOMM	2	3	0	0	0	0	0	0	0	0	0	0	0	0	
B1579_28	NRPS_58	NRPS	0	3	1	0	0	0	0	0	0	0	0	0	0	0	
B1589_35	Phos_27	Phos	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
B1589_13	PKS_I_305	PKS	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
B1589_17	NRPS_403	NRPS	0	2	0	1	0	0	0	0	0	0	0	0	0	0	
B1589_21	PKS_II_9	PKS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B1589_25	PKS_I_15	PKS	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
B1589_27	NRPS_173	NRPS	0	1	0	0	1	0	0	0	0	0	0	0	0	0	
B16041_2	PKS_I_159	PKS	0	0	2	0	0	0	0	0	0	0	0	0	0	0	
B16041_38	TOMM_69	TOMM	2	3	0	0	0	0	0	0	0	0	0	0	0	0	
B16041_3	Lant_146	Lant	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B16041_4	sidero_15	sidero	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B16041_5	NRPS_228	NRPS	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
B16041_8	NRPS_276	NRPS	0	0	0	1	0	0	0	0	0	0	0	0	0	0	
B16041_9	Lant_131	Lant	2	3	0	0	0	0	1	1	0	0	0	0	0	0	
