BGC	FunFam	3.40.50.300/FF/632839	1.10.3470.10/FF/21766	3.40.50.1980/FF/29562	1.20.1640.10/FF/24538	1.20.1250.20/FF/181070	1.20.1250.20/FF/180590	3.30.750.24/FF/8342	1.20.58.370/FF/1981	2.40.50.100/FF/50279	2.40.50.100/FF/42886	1.20.1640.10/FF/24424	1.20.1250.20/FF/180628	1.20.1250.20/FF/180940	2.40.160.10/FF/9684	1.20.1250.20/FF/180573	3.40.50.300/FF/628304	2.160.20.20/FF/2486	2.40.128.130/FF/4240	3.40.50.300/FF/627498	1.20.1250.20/FF/179298	1.20.1250.20/FF/179804	3.40.50.300/FF/628823	1.20.1250.20/FF/179738	1.10.3720.10/FF/58813	2.40.160.10/FF/9698	3.40.50.300/FF/631282	3.40.50.300/FF/631004	3.40.50.300/FF/633348	1.20.1250.20/FF/180137	1.20.1560.10/FF/26651	3.40.50.300/FF/630003	1.20.1250.20/FF/180239	1.20.1250.20/FF/179801	1.20.1250.20/FF/180267	3.40.50.300/FF/630576	3.40.50.300/FF/635508	2.170.130.10/FF/21034	3.40.50.300/FF/632367	2.40.170.20/FF/26209	3.40.50.300/FF/627204	3.40.190.10/FF/202538	1.20.1250.20/FF/178507	2.40.160.20/FF/9743	1.20.1250.20/FF/180946	1.20.1250.20/FF/180270	1.20.1640.10/FF/24590	1.20.1250.20/FF/180177	1.10.3720.10/FF/58808	3.40.190.10/FF/204263	3.40.50.300/FF/632989	1.20.1560.10/FF/26723	1.20.1250.20/FF/58719	1.20.1250.20/FF/180926	3.40.50.2300/FF/136858	1.20.1250.20/FF/179959	2.40.50.100/FF/28345	1.20.1250.20/FF/180002	1.20.1250.20/FF/180777	1.25.40.10/FF/146309	1.20.1560.10/FF/26709	3.40.50.300/FF/628430	1.20.1560.10/FF/26411	3.40.50.300/FF/629966	1.10.3720.10/FF/58598	1.20.1250.20/FF/179930	1.20.1560.10/FF/26621	3.40.50.1980/FF/29572	1.20.1250.20/FF/180544	1.20.1250.20/FF/180834	1.20.1250.20/FF/180852	1.20.1250.20/FF/180727	1.20.1250.20/FF/180603	1.20.1250.20/FF/180227	1.20.1250.20/FF/179556	1.20.1250.20/FF/51706	4.10.1080.10/FF/2874	1.10.287.950/FF/25887	3.40.50.300/FF/630249	3.40.50.300/FF/631079	3.40.930.10/FF/4542	1.20.1250.20/FF/180870	3.40.50.300/FF/629675	1.20.1250.20/FF/179503	3.40.50.300/FF/632531	1.10.3720.10/FF/27830	1.10.3720.10/FF/58629	3.40.190.10/FF/204116	1.20.1600.10/FF/23316	3.40.50.300/FF/629872	3.30.60.30/FF/4606	2.60.450.10/FF/3158	3.40.50.300/FF/634340	1.20.1250.20/FF/180883	1.20.1560.10/FF/26693	2.40.50.100/FF/29393	2.40.50.100/FF/19697	2.40.160.10/FF/9691	3.40.190.10/FF/203109	3.30.70.1430/FF/13960	3.30.2090.10/FF/12553	1.20.1640.10/FF/24369	3.40.50.300/FF/624808	1.10.3720.10/FF/58754	1.20.1250.20/FF/180259	1.20.1250.20/FF/180600	1.20.1250.20/FF/180925	3.30.70.1430/FF/13958	3.40.50.300/FF/632705	1.20.1250.20/FF/180930	3.40.190.10/FF/8226	1.20.1250.20/FF/180577	3.40.50.150/FF/135553	1.20.1250.20/FF/181060	3.40.50.2300/FF/152268	1.20.1560.10/FF/26664	1.20.1250.20/FF/180743	1.20.1250.20/FF/113957	3.40.190.10/FF/34510	3.40.50.300/FF/631655	3.40.50.300/FF/631642	1.20.1250.20/FF/129575	1.20.1250.20/FF/179080	1.20.1250.20/FF/30207	1.20.1250.20/FF/180864	1.20.1250.20/FF/180220	1.10.3720.10/FF/29778	2.40.50.100/FF/50444	1.20.1250.20/FF/179507	3.30.70.1430/FF/13971	1.20.1250.20/FF/180667	1.20.1640.10/FF/24441	1.20.1640.10/FF/24539	1.20.1250.20/FF/178561	1.20.1250.20/FF/180187	1.20.1250.20/FF/179751	1.20.1250.20/FF/179126	3.40.190.10/FF/10172	1.20.1250.20/FF/180059	1.10.3720.10/FF/58662	3.10.105.10/FF/8431	3.40.50.300/FF/634044	1.10.3720.10/FF/58844	3.40.190.10/FF/202666	1.10.3720.10/FF/58719	2.40.50.100/FF/50506	3.90.76.10/FF/9328	1.10.287.470/FF/154	3.40.190.10/FF/12655	3.90.76.10/FF/9298	2.40.170.20/FF/26173	1.20.1250.20/FF/180089	3.40.50.300/FF/633712	1.20.1250.20/FF/179508	3.40.50.300/FF/630178	1.20.1600.10/FF/23302	3.40.50.2300/FF/150738	2.40.160.10/FF/9688	3.40.190.10/FF/203403	1.10.3720.10/FF/58725	1.20.1250.20/FF/179754	1.20.1250.20/FF/179875	3.30.2090.10/FF/12554	3.40.50.300/FF/629947	3.40.190.10/FF/204134	1.20.1560.10/FF/26431	3.40.190.10/FF/203740	1.10.3720.10/FF/58765	2.160.20.20/FF/2485	2.40.160.10/FF/9682	2.60.40.10/FF/4377	2.40.170.20/FF/26210	3.40.190.10/FF/202639	1.20.1250.20/FF/180394	3.40.50.300/FF/123749	3.40.930.10/FF/25	1.10.287.570/FF/286	1.10.287.570/FF/279	1.20.1250.20/FF/178654	1.20.1250.20/FF/138435	1.20.1250.20/FF/179814	1.20.1250.20/FF/180816	1.20.1250.20/FF/180860	1.20.1580.10/FF/4891	1.20.1580.10/FF/4896	1.20.1580.10/FF/4957	3.40.50.300/FF/213488	3.40.50.300/FF/222203	3.40.50.300/FF/247688	3.40.50.300/FF/626245	3.40.50.300/FF/630863	
BGC0000020	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGC0000021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGC0000022	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGC0000026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGC0000027	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGC0000029	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGC0000030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGC0000032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGC0000033	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGC0000034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
BGC0000036	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
