BGC	macb	mfs4	tonb_rec	mfs	mfs5	abc_mem	abc_mem2	mfs2	abc_mem3	abc_cdc	abc_tran	mfs3	
BGC0001536	0	0	0	2	0	2	0	0	0	0	2	1	
BGC0001154	0	0	0	1	0	0	0	0	0	0	0	1	
BGC0001151	0	0	0	2	0	0	0	0	0	0	0	1	
BGC0001300	0	0	0	1	0	0	1	0	1	0	1	1	
BGC0001177	0	0	0	0	0	0	0	0	0	0	0	1	
BGC0000652	0	0	0	4	0	0	0	0	0	0	0	1	
BGC0001079	0	0	0	5	0	0	0	0	0	0	0	1	
BGC0000952	0	0	0	1	0	0	1	0	1	0	1	1	
BGC0000806	0	0	0	1	0	0	0	0	0	0	0	1	
BGC0001283	0	0	0	1	0	0	0	0	0	0	1	1	
BGC0000459	0	0	0	2	0	0	0	0	0	0	2	1	
BGC0001156	0	0	0	1	0	0	0	0	0	0	0	1	
BGC0000194	0	0	0	2	0	0	0	0	0	0	0	1	
BGC0001140	0	0	0	1	0	0	0	0	0	0	0	1	
BGC0001759	0	0	0	1	0	0	0	0	0	0	1	1	
BGC0001676	0	0	0	3	0	0	0	0	0	0	0	1	
BGC0001598	2	0	0	5	0	0	0	0	0	0	1	0	
BGC0001792	0	0	0	2	0	0	0	0	0	0	1	1	
BGC0000323	1	0	0	0	0	0	0	0	0	0	1	0	
BGC0000435	1	0	0	0	0	0	0	0	0	0	1	0	
BGC0001629	1	0	0	0	0	1	0	0	0	0	2	0	
BGC0000329	1	0	0	0	0	0	0	0	0	0	1	0	
BGC0000437	1	0	0	0	0	1	0	0	0	0	2	0	
BGC0001509	1	0	0	0	0	0	0	0	0	0	1	0	
BGC0000344	1	0	0	0	0	0	0	0	0	0	2	0	
BGC0001208	1	0	0	0	0	0	0	0	0	0	1	0	
BGC0000411	1	0	0	0	0	0	0	0	0	0	1	0	
BGC0001312	1	0	1	0	0	0	0	0	0	0	1	0	
BGC0000463	1	0	0	0	0	0	0	0	0	0	1	0	
BGC0000399	1	0	0	0	0	0	0	0	0	0	1	0	
BGC0001389	1	0	0	0	0	0	0	0	0	0	1	0	
BGC0000398	1	0	0	0	0	0	0	0	0	0	1	0	
BGC0001346	1	0	0	0	0	0	0	0	0	0	1	0	
BGC0000425	1	0	0	0	0	1	0	0	0	0	2	0	
BGC0000462	1	0	0	1	0	0	0	1	0	0	1	0	
BGC0000447	1	0	0	0	0	1	0	0	0	0	2	0	
BGC0001728	1	0	0	2	0	0	0	0	0	0	1	0	
BGC0000413	1	0	1	4	0	2	0	0	0	0	4	0	
BGC0001555	1	0	2	1	0	3	0	0	0	0	5	0	
BGC0001482	2	0	0	0	0	0	0	0	0	0	0	0	
BGC0001483	2	0	0	0	0	0	0	0	0	0	0	0	
BGC0000488	1	0	0	0	0	0	0	0	0	0	2	0	
BGC0000611	2	0	0	0	0	0	0	0	0	0	1	0	
BGC0000655	2	0	0	0	0	0	0	0	0	0	1	0	
BGC0000487	1	0	0	0	0	0	0	0	0	0	2	0	
BGC0000142	2	0	0	1	0	0	0	0	0	0	1	0	
BGC0000095	2	0	0	1	0	0	0	0	0	0	0	0	
BGC0000133	1	0	0	0	0	0	0	0	0	0	1	0	
BGC0001429	2	0	0	0	0	0	0	0	0	0	1	0	
BGC0000291	1	0	0	0	0	0	1	0	1	0	2	0	
BGC0001431	2	0	0	0	0	0	0	0	0	0	1	0	
BGC0001635	1	0	0	0	0	1	0	0	0	0	2	0	
BGC0001299	2	0	0	0	0	0	0	0	1	0	2	0	
BGC0001352	1	0	0	0	0	0	0	0	0	0	1	0	
BGC0000257	2	0	0	0	0	0	0	0	0	0	1	0	
BGC0001196	1	0	0	0	0	0	0	0	0	0	3	0	
BGC0001591	1	0	0	0	0	0	0	0	0	0	1	0	
BGC0001688	1	0	0	0	0	0	0	0	0	0	1	0	
BGC0001056	1	0	0	0	0	0	1	0	1	0	2	0	
BGC0001343	1	0	0	0	0	0	0	0	0	0	1	0	
BGC0001810	0	0	0	3	0	0	0	1	0	0	0	0	
BGC0000163	0	0	0	2	0	0	0	1	0	0	1	0	
BGC0000285	0	0	0	2	0	0	0	1	0	0	0	0	
BGC0001643	0	0	0	2	0	2	0	1	0	0	2	0	
BGC0000123	0	0	0	3	0	0	0	1	0	0	0	0	
BGC0001336	0	0	0	4	0	0	0	1	0	0	0	0	
BGC0000268	0	0	0	4	0	0	0	1	0	0	0	0	
BGC0001184	0	0	0	3	0	0	0	1	0	0	0	0	
BGC0001442	0	0	0	3	0	0	0	1	0	0	0	0	
BGC0001497	0	0	0	3	0	0	0	1	0	0	0	0	
BGC0001055	0	0	1	2	0	2	0	1	0	0	2	0	
BGC0000093	0	0	0	3	0	0	0	1	0	0	2	0	
BGC0000885	0	1	0	2	0	0	0	1	0	0	0	0	
BGC0000178	0	0	0	1	0	0	0	1	0	0	0	0	
BGC0001093	0	0	0	2	0	0	0	1	0	0	0	0	
BGC0000190	0	0	0	2	0	0	0	1	0	0	0	0	
BGC0000352	0	0	1	1	0	0	0	1	0	0	0	0	
BGC0001075	0	0	0	2	0	0	0	1	0	0	0	0	
BGC0001106	0	0	0	1	1	0	0	0	0	0	0	0	
BGC0000422	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000001	0	0	0	2	0	0	0	0	0	0	2	0	
BGC0001783	0	0	0	5	0	0	0	0	0	0	0	0	
BGC0001193	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001590	0	0	0	2	0	0	0	0	0	0	2	0	
BGC0001288	0	0	0	2	0	0	0	0	0	0	1	0	
BGC0000206	0	0	0	1	0	0	0	0	0	0	1	0	
BGC0000207	0	0	0	1	0	0	0	0	0	0	1	0	
BGC0001798	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000074	0	0	0	2	0	0	0	0	0	0	1	0	
BGC0000695	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001719	0	0	0	2	0	0	0	0	0	0	1	0	
BGC0001740	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001611	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001694	0	0	0	2	0	0	0	0	0	0	2	0	
BGC0001179	0	0	0	1	0	0	0	0	0	0	1	0	
BGC0001702	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001441	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001377	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001815	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001675	0	0	0	3	0	0	0	0	0	0	0	0	
BGC0000224	0	0	0	3	0	0	0	0	0	0	0	0	
BGC0000354	0	0	0	2	0	0	1	0	1	0	1	0	
BGC0000235	0	0	0	1	0	0	0	0	0	0	1	0	
BGC0001440	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001065	0	0	0	5	0	0	0	0	0	0	2	0	
BGC0000452	0	1	0	2	0	2	0	0	0	0	4	0	
BGC0001019	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000087	0	0	0	2	0	0	0	0	0	0	2	0	
BGC0000086	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000219	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001392	0	0	1	2	0	1	0	0	0	0	2	0	
BGC0001200	0	0	0	1	0	0	0	0	0	0	1	0	
BGC0000704	0	0	0	2	0	0	0	0	0	0	2	0	
BGC0000705	0	0	0	2	0	0	0	0	0	0	2	0	
BGC0000977	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001443	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000700	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000262	0	0	0	3	0	0	0	0	0	0	0	0	
BGC0001378	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001804	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001436	0	0	0	3	0	0	0	0	0	0	0	0	
BGC0001557	0	0	0	3	0	0	0	0	0	0	0	0	
BGC0001823	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001622	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000237	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000238	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001755	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000373	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000209	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000466	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000036	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001648	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000276	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000277	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000140	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000264	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000162	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000100	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001670	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001213	0	0	0	1	0	2	0	0	0	0	2	0	
BGC0000275	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000926	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000213	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001666	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000689	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000696	0	0	0	2	0	0	1	0	0	0	1	0	
BGC0000697	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001603	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000208	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001301	0	0	0	1	0	0	1	0	0	0	1	0	
BGC0001480	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001339	0	0	0	4	0	0	0	0	0	0	0	0	
BGC0000392	0	0	0	1	0	0	0	0	0	0	1	0	
BGC0000197	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000084	0	0	0	2	0	0	0	0	0	0	1	0	
BGC0000431	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000112	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000714	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000717	0	0	0	1	0	2	0	0	0	0	3	0	
BGC0001571	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001052	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001538	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000833	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000907	0	0	0	1	0	0	0	0	0	0	2	0	
BGC0000136	0	0	0	1	0	0	0	0	0	0	1	0	
BGC0000239	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000220	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000226	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001438	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001384	0	0	0	4	0	0	0	0	0	0	0	0	
BGC0001468	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001530	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001556	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001644	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000229	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001286	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000368	0	0	0	1	0	0	0	0	0	0	1	0	
BGC0001083	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000216	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000915	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000033	0	0	0	1	0	0	1	0	1	0	1	0	
BGC0000225	0	0	0	1	0	0	0	0	0	0	2	0	
BGC0001011	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001574	0	0	0	1	0	0	0	0	0	0	3	0	
BGC0000821	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000822	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000376	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001819	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001500	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001492	0	0	0	1	0	0	0	0	0	0	2	0	
BGC0001637	0	0	0	1	0	0	0	0	0	0	1	0	
BGC0001003	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001038	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000943	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001172	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000158	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001194	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000270	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000222	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001731	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001150	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001784	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001072	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001303	0	0	0	1	0	0	1	0	1	0	2	0	
BGC0000187	0	0	0	3	0	0	0	0	0	0	0	0	
BGC0001584	0	0	0	2	0	0	0	0	0	0	1	0	
BGC0001512	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001732	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000267	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000227	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000079	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001661	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000446	0	0	0	1	0	0	0	0	0	0	1	0	
BGC0001805	0	0	0	1	0	0	0	0	0	0	1	0	
BGC0000317	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000165	0	0	0	1	0	0	0	0	0	0	1	0	
BGC0001597	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001366	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001004	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001807	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001593	0	0	0	3	0	0	0	0	0	0	1	0	
BGC0001183	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000134	0	1	0	1	0	0	0	0	0	0	0	0	
BGC0000195	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001730	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000230	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000678	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001583	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001382	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000319	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000965	0	0	0	2	0	0	0	0	0	0	1	0	
BGC0001397	0	0	0	2	0	0	0	0	0	0	1	0	
BGC0001199	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001062	0	0	0	3	0	0	0	0	0	0	0	0	
BGC0000161	0	0	0	3	0	0	0	0	0	0	0	0	
BGC0001503	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000240	0	0	0	1	0	1	0	0	0	0	2	0	
BGC0000097	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001365	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000914	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001308	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001738	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000203	0	0	0	4	0	0	0	0	0	0	0	0	
BGC0001485	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001546	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000908	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000202	0	0	0	3	0	0	0	0	0	0	0	0	
BGC0000029	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000253	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000082	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001088	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001298	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000221	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001596	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001073	0	0	0	1	0	0	1	0	1	0	1	0	
BGC0000241	0	0	0	1	0	1	0	0	0	0	2	0	
BGC0001008	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000039	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000893	0	1	0	1	0	0	0	0	0	0	0	0	
BGC0000081	0	0	0	2	0	0	0	0	0	0	1	0	
BGC0000420	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001246	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001119	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001084	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001302	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001046	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000089	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000814	0	0	0	1	0	0	0	0	0	0	4	0	
BGC0001026	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000809	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001778	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001446	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001349	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000098	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000038	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001439	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000892	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000283	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000232	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000925	0	0	1	2	0	0	0	0	0	0	0	0	
BGC0000045	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001449	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000394	0	0	0	1	0	0	0	0	0	0	1	0	
BGC0000662	0	0	0	3	0	0	0	0	0	0	0	0	
BGC0001123	0	0	0	1	0	1	0	0	0	0	1	0	
BGC0001345	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000242	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000144	0	0	0	1	0	0	0	0	0	0	1	0	
BGC0001231	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000004	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000304	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000154	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000168	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001729	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000409	0	1	0	2	0	0	0	0	0	0	1	0	
BGC0001340	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001385	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000385	0	0	2	2	0	2	0	0	0	0	2	0	
BGC0001714	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001122	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000680	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001338	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001563	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001190	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001741	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001142	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000303	0	0	0	2	0	0	0	0	0	0	1	0	
BGC0001131	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001398	0	0	0	1	0	1	0	0	0	0	2	0	
BGC0000383	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000245	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000150	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001518	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000370	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000010	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000281	0	1	0	1	0	0	0	0	0	0	0	0	
BGC0000233	0	0	0	1	0	0	1	0	1	0	2	0	
BGC0000007	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000076	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000077	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000436	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000006	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000009	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001047	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001543	0	0	0	1	0	0	0	0	0	0	2	0	
BGC0000603	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000997	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001466	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000008	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000955	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001415	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000653	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000935	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000953	0	0	0	1	0	0	0	0	0	0	2	0	
BGC0000070	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001541	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000273	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001517	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000847	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001234	0	0	0	3	0	0	0	0	0	0	0	0	
BGC0001404	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001247	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000445	0	0	0	3	0	0	1	0	1	0	2	0	
BGC0001205	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001724	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001699	0	0	0	1	0	1	0	0	0	0	2	0	
BGC0000269	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000201	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000676	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000171	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001572	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000020	0	0	0	1	0	1	0	0	0	0	1	0	
BGC0001592	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000046	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000992	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001712	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001542	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000961	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000949	0	0	0	1	0	2	0	0	0	0	3	0	
BGC0000030	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001158	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000688	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000160	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001143	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000956	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000897	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000889	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001486	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001617	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000180	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0001221	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0000120	0	0	0	1	0	0	2	0	0	2	2	0	
BGC0000629	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001516	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000105	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000048	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001405	0	0	0	2	0	0	0	0	0	0	0	0	
BGC0000022	0	0	0	1	0	0	0	0	0	0	0	0	
BGC0001281	0	0	0	1	0	2	0	0	0	0	2	0	
BGC0000295	0	0	1	3	0	0	0	0	0	0	0	0	
BGC0001770	0	0	0	1	0	0	0	0	0	0	1	0	
BGC0000842	0	1	0	1	0	0	0	0	0	0	0	0	
BGC0000959	0	0	0	1	0	0	0	0	0	0	0	0	
